,embeddings
0,"[-0.1976599   0.1852708   0.12798613 -0.01158274 -0.09894477 -0.05268376
  0.12867203 -0.02318172 -0.14657705  0.0343      0.41307315 -0.32435587
  0.04636532  0.13981964  0.16366012 -0.04662544  0.06743705 -0.10123912
  0.00373295  0.22982103  0.23302643 -0.01103274  0.07680415  0.18284032
 -0.00863277  0.23715426  0.23189585 -0.03623911 -0.07268208 -0.17688254
  0.0832028   0.34326622 -0.0360851   0.21650349  0.10937685  0.17106546
  0.1616952   0.22424091 -0.00790985 -0.01161577  0.08806826 -0.25586894
 -0.21387237 -0.1586205  -0.06839213  0.14888851 -0.26457962 -0.05941053
  0.19313264 -0.14530832 -0.00895497  0.13243951  0.03155383  0.23407467
 -0.23439321 -1.121948   -0.11352419  0.01690305  0.74084765  0.21834055
 -0.12081714  0.17474736 -0.2355085   0.04954709  0.2802646   0.33512005
  0.25069702  0.23691761  0.27565098  0.05591639 -0.20568164  0.10718621
  0.00612447 -0.21623239  0.26365593 -0.25748456  0.08430817 -0.03429888
 -0.37910154 -0.31699878  0.1395721  -0.26722723 -0.24124527 -0.19159757
 -0.51052487  0.17193432  0.00755849 -0.40813038  0.05180586  0.08934429
 -0.15490375  0.3138808   0.100343    0.1530484  -0.0837959  -0.02317523
  0.11171012 -0.42822033  0.10533658 -0.19171953]"
1,"[-0.10290985  0.05606532  0.17000085 -0.00528402 -0.11688152 -0.13070427
  0.33469364  0.16987465  0.06043536  0.05897924  0.48298907 -0.19495189
  0.01475131  0.10466655  0.07046286 -0.18896651  0.14632809 -0.09611621
 -0.1737304   0.28053015  0.30833215  0.07915363 -0.03381151  0.37832585
  0.07208108  0.10328509  0.2783287  -0.20124054  0.16571926 -0.03134661
 -0.09627005  0.32715982 -0.10963754  0.3458015   0.07047311  0.12885408
  0.10551669  0.3204471   0.03733231 -0.09127138  0.12919231 -0.16031651
 -0.2956789  -0.3174065   0.065015   -0.13878208 -0.4563246  -0.06718399
 -0.1335011  -0.20933814 -0.29147297  0.22102828  0.05818043  0.12951775
 -0.3234646  -1.1120217  -0.00857991  0.2897155   0.5530074   0.1446131
 -0.24698238 -0.05729768 -0.35797757 -0.10287029  0.3100708   0.13101915
  0.33232155  0.24151976  0.2090386   0.29899186  0.05611451  0.25805914
 -0.24130183 -0.38859227  0.10166923 -0.34522516  0.25473037 -0.06281285
 -0.4138824  -0.18933488  0.24612105 -0.473497   -0.11627511 -0.10119257
 -0.42333645  0.11434527 -0.17131816 -0.39925256  0.3255935   0.07572019
 -0.08988767  0.16750352  0.24743198  0.3236499  -0.05170033  0.05480598
 -0.08829336 -0.47832093  0.19891241 -0.18090044]"
2,"[-0.23845518  0.1082911   0.18190381 -0.06396244 -0.15486562  0.00112029
  0.21210133  0.09194338 -0.09803498  0.12654209  0.499853   -0.17227201
 -0.14783198  0.16432782 -0.06030096 -0.14947906  0.04195933 -0.14743504
  0.0931555   0.2080233   0.34298304 -0.0160609  -0.17503408  0.40482375
 -0.12864973  0.30643484  0.13254482 -0.0661388   0.12421571 -0.07601782
  0.08721923  0.37522727  0.04193876  0.30529583  0.04351687  0.16095755
  0.31638217  0.28022337  0.06094341  0.05359759  0.13886163 -0.23794246
 -0.24120317 -0.3367718  -0.08925121  0.09474444 -0.4010902  -0.22320041
  0.08626246 -0.13190228 -0.19295888  0.12093502  0.22640456  0.11776531
 -0.31140035 -1.0065542   0.02399488  0.23929024  0.5843377   0.22158155
 -0.19434042 -0.07011254 -0.30399668 -0.08447603  0.43842566  0.30253157
  0.39816052  0.26739892  0.2374658   0.22244091 -0.11221437  0.14900564
 -0.11402804 -0.3213296   0.15399747 -0.14915301 -0.03806114 -0.2055944
 -0.4054212  -0.24224235  0.2046705  -0.49090984 -0.24675027 -0.1943987
 -0.5217078   0.2505386  -0.05640444 -0.3614934   0.15872799  0.14025551
 -0.14716011  0.25032082  0.02899031  0.30169895  0.02318006 -0.0288187
 -0.05455518 -0.47312942  0.08339759 -0.22603217]"
3,"[-1.80873841e-01  3.28606591e-02  7.13969991e-02 -1.84494704e-02
 -2.10947186e-01  6.56337589e-02  3.68487209e-01  1.58718750e-01
 -1.91091344e-01 -3.75504233e-02  4.88862395e-01 -3.18409562e-01
 -1.72797859e-01  1.98352844e-01  8.77543911e-03 -2.51298696e-01
  1.13731742e-01 -1.23783350e-01 -1.61257520e-01  2.61167467e-01
  4.29224163e-01  6.44590333e-02  5.55810146e-02  2.91235566e-01
  2.98892409e-02  8.93892869e-02  2.00192839e-01 -2.56465286e-01
  1.94044128e-01  2.24085413e-02  7.79498518e-02  2.17637107e-01
  5.98459020e-02  3.48435760e-01  5.52447140e-02  2.22686559e-01
  1.78699926e-01  2.97936887e-01  3.62486690e-02  1.94894865e-01
  1.19352035e-01 -2.63906181e-01 -1.20337889e-01 -4.89357829e-01
  4.87356372e-02  1.37664499e-02 -3.15629035e-01 -2.68005580e-01
  2.85576843e-02 -1.67793661e-01 -9.94481221e-02  2.00302929e-01
  1.09555610e-02  1.11006372e-01 -2.72060722e-01 -1.50932980e+00
 -5.25448211e-02  2.05831349e-01  6.43497825e-01  2.32439458e-01
 -1.52739808e-01  7.98466951e-02 -3.52226824e-01 -2.73288727e-01
  5.38191557e-01  9.21522379e-02  3.03714365e-01  3.49507391e-01
 -1.34199671e-03  3.46803814e-01 -6.99754730e-02  6.93717599e-02
 -3.37222755e-01 -4.41686988e-01  2.42046803e-01 -2.71094352e-01
  1.93366811e-01 -6.37493134e-02 -4.76039499e-01 -1.38591066e-01
  1.29095569e-01 -4.21088308e-01 -2.58155674e-01 -2.87252486e-01
 -5.18151939e-01  1.21834703e-01 -3.18610787e-01 -4.22880173e-01
  2.12654188e-01 -2.11102739e-02 -3.32447559e-01  9.27324742e-02
  2.17323259e-01  4.53115880e-01 -1.25000253e-01  1.97184086e-02
 -7.77807534e-02 -2.77110279e-01  1.74042910e-01 -2.43496478e-01]"
4,"[-0.35252824 -0.07632387  0.03191851 -0.17343299 -0.18426014 -0.01223167
  0.2983527   0.1726784  -0.13191985  0.01713479  0.629749   -0.17950964
 -0.23928992  0.23297177  0.0666314  -0.19656348  0.07726061 -0.16239585
 -0.22478133  0.26380393  0.37421316  0.10062502 -0.0198223   0.4227075
  0.07480342  0.21643992  0.25764498 -0.0577924   0.16683827 -0.09258793
  0.0413486   0.43380603 -0.09301043  0.16553035  0.01618614  0.21310619
  0.3026448   0.25198138 -0.05586717  0.12698393  0.17334804 -0.3642168
 -0.21553393 -0.28788197  0.05358887 -0.17683205 -0.5225968  -0.23106074
  0.0708537  -0.21250573 -0.24843223  0.05233923  0.12265619  0.12838358
 -0.43053263 -1.1227087   0.02640663  0.30804905  0.67900276  0.17779909
 -0.2382391  -0.17353575 -0.49737298 -0.26461932  0.4413436   0.26956144
  0.26560083  0.31346837  0.03339104  0.26383168 -0.12990738  0.18445858
 -0.25873342 -0.40974858  0.26684147 -0.31085947  0.1367075  -0.16431211
 -0.46594304 -0.37426296  0.21041575 -0.58047706 -0.18085338 -0.31035167
 -0.46335298  0.22413681 -0.16569437 -0.36168537  0.16966198  0.04730567
 -0.24500877  0.22697072  0.28486168  0.54396003  0.08373824  0.079047
  0.01374091 -0.580818    0.17689838 -0.35200283]"
5,"[-0.2846636   0.13317803  0.10030196  0.0110019  -0.1512538  -0.09313349
  0.3419238   0.07155287 -0.08900618  0.15211982  0.42746648 -0.36681187
 -0.0300911   0.15386303  0.0866088  -0.22320694 -0.05856855 -0.18856741
 -0.06209604  0.20667371  0.4438705  -0.06429145  0.0575195   0.49030972
  0.06524315  0.13914388  0.29586568 -0.14632082 -0.03469836 -0.13119967
  0.04512949  0.36748746 -0.14043607  0.3451721   0.16828884  0.14481933
  0.27749258  0.34691876 -0.06195874  0.15887713  0.12827398 -0.34479353
 -0.09722973 -0.32233945  0.14075007 -0.14239798 -0.25633115 -0.11337019
 -0.0060276  -0.30195934 -0.33820498  0.19115159  0.08305962  0.18451624
 -0.5011047  -1.0111772   0.04929367  0.18421534  0.74111307  0.08356138
 -0.17877762 -0.2364824  -0.3770044   0.00311445  0.4274002   0.2721524
  0.26243943  0.28356206  0.2467141   0.31740394  0.03687457  0.12940565
 -0.19826965 -0.47772413  0.23422803 -0.43974447  0.15926822 -0.11381427
 -0.43918335 -0.28147072  0.32517263 -0.4829334  -0.19709066 -0.20318797
 -0.5135553   0.36091062 -0.10034626 -0.55287135  0.27753064  0.14208135
 -0.23769061  0.2512188   0.1452906   0.38549507 -0.09587707  0.01077525
  0.1343709  -0.44919917  0.32700396 -0.302892  ]"
6,"[-0.21654828  0.24082877  0.11566182  0.11400461 -0.29925048  0.05880208
  0.44688714  0.1727393  -0.23204896  0.01732766  0.5921852  -0.29481706
 -0.25338233  0.20004435  0.04834606 -0.27439392  0.02885684 -0.05154452
 -0.12010545  0.11022099  0.49283072  0.0038894  -0.04703756  0.45276874
  0.2499799   0.09215321  0.24639745 -0.08608849  0.19853014 -0.08460534
  0.05644764  0.4067097  -0.03750921  0.2967234   0.1945814   0.18031117
  0.3567773   0.28545064 -0.05594984  0.21395496  0.13490066 -0.31568062
 -0.23904566 -0.32435063  0.06003372 -0.02795575 -0.3930005  -0.15235338
  0.11971267 -0.19834842 -0.08581442  0.14889176  0.12886761  0.13838421
 -0.47135976 -1.3918905  -0.05510253  0.2626983   0.77213645  0.16448072
 -0.27135277 -0.04453789 -0.50972086 -0.04429476  0.5388425   0.27249768
  0.26924166  0.17185345  0.12349608  0.3065749  -0.12142272  0.19459455
 -0.1424133  -0.39291465  0.32080492 -0.3711424   0.31080577 -0.06472974
 -0.3499777  -0.33835453  0.18084058 -0.47545156 -0.11417864 -0.341657
 -0.3989594   0.06625716 -0.08830539 -0.67709696  0.2905606   0.05147559
 -0.2748769   0.18156736  0.23100176  0.4432859  -0.20822497 -0.05110912
 -0.11190487 -0.4937419   0.10944834 -0.3067695 ]"
7,"[-0.37508896  0.20200643  0.14789142  0.04671489 -0.32719094  0.06793792
  0.37812072  0.15913637 -0.23356694  0.03848728  0.5106603  -0.39816695
 -0.15094689  0.21919058  0.10323743 -0.21856861  0.07213099 -0.013047
  0.00375186  0.18680719  0.44912487  0.04933398 -0.03598144  0.52162045
  0.0343784   0.23727868  0.37943256 -0.06611491 -0.03949604 -0.07484224
  0.13637657  0.42115566 -0.12267653  0.3990475   0.14933634  0.15392524
  0.0900825   0.0976401   0.14044358  0.021851    0.23288031 -0.3696991
 -0.12945218 -0.32674485 -0.05056128 -0.13775581 -0.39038092 -0.10939433
  0.1253469  -0.18125972 -0.22428149  0.31873998  0.16105498  0.07586543
 -0.40532857 -1.045921   -0.0265769   0.18895474  0.7865445   0.04466027
 -0.24369183 -0.06438606 -0.26477024  0.08058617  0.32341665  0.32968664
  0.21231104  0.21255787  0.18620439  0.1459451  -0.18583332  0.10994365
 -0.08023138 -0.21153873  0.22999115 -0.27422523  0.26697245 -0.09601261
 -0.44790778 -0.35743523  0.27102068 -0.64680827 -0.17337082 -0.0808084
 -0.5315407   0.23207061 -0.054858   -0.5815126   0.14476088  0.09537354
 -0.23461547  0.37147206  0.3390129   0.31823653 -0.07360054  0.02513273
  0.13684082 -0.44419307  0.22939523 -0.27608064]"
8,"[-0.21015704  0.22009915  0.02060715 -0.01727949 -0.31467503  0.02391897
  0.38478926  0.1916063  -0.2954777   0.11617828  0.59484285 -0.30353
 -0.17845656  0.24274503  0.10305634 -0.19490695  0.11033785 -0.05314985
  0.04146498  0.18651903  0.39311647 -0.01459506 -0.17606272  0.38273457
  0.06373857  0.12694298  0.35130006 -0.04305831  0.04816972 -0.2132112
  0.12693387  0.53918713 -0.13661057  0.32189643  0.08227403  0.11601346
  0.22586928  0.1949501  -0.0656954   0.08852509  0.31116092 -0.26540512
 -0.0512929  -0.27409235 -0.19340263 -0.01336041 -0.43725222 -0.06482509
  0.00204934 -0.2085627  -0.13908774  0.1745014   0.06487148  0.11444646
 -0.38340837 -1.1157366  -0.08507277  0.20199317  0.8093105   0.23326963
 -0.23701718 -0.05965562 -0.46123353 -0.03954686  0.51617163  0.37219244
  0.1770679   0.24393146  0.25494596  0.17946652 -0.19137594  0.1020607
 -0.06398098 -0.21198809  0.3449788  -0.1733782   0.0982672  -0.13398026
 -0.44808263 -0.35179684  0.1496097  -0.6015591  -0.30821487 -0.3627189
 -0.46471563  0.24278924 -0.10291459 -0.63556415  0.05372012  0.0272153
 -0.32405987  0.3017417   0.2504522   0.3528301  -0.04973821 -0.13089679
  0.09546019 -0.4731694   0.16444893 -0.28401136]"
9,"[-0.35649174  0.09559505  0.10578874  0.0540355  -0.13732111  0.00347243
  0.40110907  0.2658152   0.00600606  0.12608048  0.46576232 -0.39962688
 -0.22044435  0.21242154  0.22060075 -0.1071811  -0.07429757 -0.13470966
 -0.05009875  0.09982095  0.5044325   0.0173728  -0.10615709  0.359991
  0.07448529  0.05763574  0.36748812 -0.17422287  0.18559955 -0.12662803
  0.02322489  0.36618662 -0.19711946  0.44457135  0.10990029  0.17117184
  0.30365235  0.21778879  0.02560468  0.11918146  0.20153566 -0.35829356
 -0.2109162  -0.3634378   0.01200557 -0.04805744 -0.35042736 -0.14860487
 -0.08054603 -0.12812041 -0.21428251  0.286984    0.03422103  0.03580184
 -0.41917706 -1.1653453   0.09786493  0.29088703  0.6884617   0.12733495
 -0.28122136 -0.17046575 -0.44805813 -0.14464337  0.43314552  0.32546562
  0.20321587  0.20167628  0.15068832  0.33101714  0.06438135  0.14346176
 -0.14220406 -0.5197523   0.35862732 -0.34097183  0.11577666 -0.12214524
 -0.45073158 -0.2256578   0.2452158  -0.7099037  -0.18034461 -0.38648543
 -0.5554638   0.36984956 -0.12040857 -0.63981247  0.24173792  0.14336151
 -0.3250894   0.34876037  0.2873625   0.44281757 -0.15383692 -0.06008274
 -0.00595431 -0.55567116  0.18917787 -0.43094242]"
